# This file is for BSW 3 & Real Space Ship Scale;;;;;;;;;;;;;;;;;;;;;;;                                                    
key;cost;power;min_damage;max_damage;hull_damage;shield_damage;shield_penetration;armor_damage;armor_penetration;min_windup;max_windup;cooldown;range;accuracy;tracking;missile_speed;missile_evasion;missile_shield;missile_armor;missile_health;missile_retarget_range;end;                                                    
# Lasers;;;;;;;;;;;;;;;;;;;;;;;                                                    
# key;cost;power;min_dmg;max_dmg;hull_dmg;sld_dmg;sld_pnt;amr_dmg;amr_pnt;min_wu;max_wu;cdn;range;accuracy;tracking;msl_spd;msl_evasion;msl_sld;msl_amr;msl_health;msl_rtr;end;                                                    
SMALL_RED_LASER;10;-5;6;16;1;0.5;0;1.5;0;2;20;35;7;0.9;0.5;0;0;0;0;0;0;;                                                    
MEDIUM_RED_LASER;20;-10;15;40;1;0.5;0;1.5;0;2;20;35;10;0.9;0.3;0;0;0;0;0;0;;                                                    
LARGE_RED_LASER;40;-20;36;96;1;0.5;0;1.5;0;2;20;35;14;0.9;0.05;0;0;0;0;0;0;;                                                    
SMALL_BLUE_LASER;13;-7;8;21;1;0.5;0;1.5;0;2;20;35;7;0.9;0.5;0;0;0;0;0;0;;                                                    
MEDIUM_BLUE_LASER;26;-13;20;53;1;0.5;0;1.5;0;2;20;35;10;0.9;0.3;0;0;0;0;0;0;;                                                    
LARGE_BLUE_LASER;52;-26;48;126;1;0.5;0;1.5;0;2;20;35;14;0.9;0.05;0;0;0;0;0;0;;                                                    
SMALL_UV_LASER;17;-10;10;27;1;0.5;0;1.5;0;2;20;35;7;0.9;0.5;0;0;0;0;0;0;;                                                    
MEDIUM_UV_LASER;34;-17;25;68;1;0.5;0;1.5;0;2;20;35;10;0.9;0.3;0;0;0;0;0;0;;                                                    
LARGE_UV_LASER;68;-34;60;162;1;0.5;0;1.5;0;2;20;35;14;0.9;0.05;0;0;0;0;0;0;;                                                    
SMALL_XRAY_LASER;22;-13;13;35;1;0.5;0;1.5;0;2;20;35;7;0.9;0.5;0;0;0;0;0;0;;                                                    
MEDIUM_XRAY_LASER;44;-23;33;88;1;0.5;0;1.5;0;2;20;35;10;0.9;0.3;0;0;0;0;0;0;;                                                    
LARGE_XRAY_LASER;88;-45;78;210;1;0.5;0;1.5;0;2;20;35;14;0.9;0.05;0;0;0;0;0;0;;                                                    
SMALL_GAMMA_LASER;28;-17;17;46;1;0.5;0;1.5;0;2;20;35;7;0.9;0.5;0;0;0;0;0;0;;                                                    
